date,pm25,pm10,o3,no2,so2,co
2020-05-31,28,29,16,11,7,11
2020-05-30,34,32,17,6,6,7
2020-05-29,41,31,19,9,6,9
2020-05-28,56,35,18,9,6,9
2020-05-27,35,47,24,9,8,10
2020-05-26,27,27,21,7,7,7
2020-05-25,34,21,20,4,7,5
2020-05-24,48,30,26,7,6,9
2020-05-23,37,37,17,8,6,9
2020-05-22,38,28,19,7,6,8
2020-05-21,44,41,15,10,6,9
2020-05-20,33,45,24,12,6,11
2020-05-19,49,32,17,,6,10
2020-05-18,32,39,18,,6,10
2020-05-17,26,28,30,,6,9
2020-05-16,35,24,15,,6,7
2020-05-15,32,29,18,2,6,7
2020-05-14,22,27,15,3,5,6
2020-05-13,32,23,19,4,6,8
2020-05-12,30,28,15,4,6,9
2020-05-11,37,25,14,5,5,9
2020-05-10,44,32,14,5,5,10
2020-05-09,52,39,25,4,5,7
2020-05-08,46,40,18,5,5,10
2020-05-07,51,40,17,5,5,9
2020-05-06,42,41,13,5,5,10
2020-05-05,47,37,13,4,5,10
2020-05-04,40,39,17,6,5,10
2020-05-03,41,36,21,7,5,8
2020-05-02,47,33,16,4,5,8
2020-05-01,49,40,23,3,5,6
2020-04-30,61,35,12,6,5,8
2020-04-29,99,48,24,5,6,8
2020-04-28,55,67,42,10,11,10
2020-04-27,17,44,37,11,16,8
2020-04-26,14,11,27,8,7,8
2020-04-25,15,10,18,3,6,5
2020-04-24,11,11,22,3,6,5
2020-04-23,7,6,16,2,10,4
2020-04-22,12,6,17,2,6,5
2020-04-21,24,10,13,5,15,8
2020-04-20,25,15,14,4,24,7
2020-04-19,33,13,14,3,34,5
2020-04-18,27,17,13,1,4,6
2020-04-17,28,14,17,3,4,5
2020-04-16,49,15,14,2,4,5
2020-04-15,57,26,17,6,4,8
2020-04-14,48,31,32,8,7,6
2020-04-13,42,26,38,6,6,5
2020-04-12,31,22,20,5,5,4
2020-04-11,42,17,22,5,5,4
2020-04-10,60,22,18,6,5,6
2020-04-09,76,33,23,11,6,8
2020-04-08,89,41,25,11,6,8
2020-04-07,69,46,17,12,5,9
2020-04-06,34,36,21,7,5,6
2020-04-05,14,18,11,6,5,6
2020-04-04,28,8,13,1,5,4
2020-04-03,48,15,6,2,5,4
2020-04-02,54,25,7,6,5,8
2020-04-01,65,28,5,3,5,6
2020-03-31,44,36,7,6,5,5
2020-03-30,27,24,4,2,5,4
2020-03-29,25,16,12,8,4,4
2020-03-28,34,15,24,2,4,4
2020-03-27,32,21,14,4,4,6
2020-03-26,23,19,17,5,4,7
2020-03-25,27,13,14,4,4,4
2020-03-24,31,17,14,7,4,5
2020-03-23,48,19,14,7,4,6
2020-03-22,40,27,14,11,4,10
2020-03-21,57,22,15,8,4,7
2020-03-20,80,31,16,13,4,9
2020-03-19,31,47,8,22,5,12
2020-03-18,32,17,7,8,4,6
2020-03-17,59,16,7,9,4,8
2020-03-16,121,31,11,21,4,16
2020-03-15,95,59,5,22,7,17
2020-03-14,60,51,10,18,6,9
2020-03-13,74,37,13,16,5,8
2020-03-12,71,40,14,14,4,11
2020-03-11,83,40,13,21,4,13
2020-03-10,70,52,15,28,6,12
2020-03-09,100,45,17,17,4,7
2020-03-08,76,54,33,18,3,9
2020-03-07,72,45,17,18,3,9
2020-03-06,112,45,6,21,4,12
2020-03-05,51,61,10,22,6,12
2020-03-04,38,31,9,13,4,9
2020-03-03,34,23,21,17,4,6
2020-03-02,43,22,9,15,3,6
2020-03-01,51,28,12,14,3,9
2020-02-29,47,32,11,15,3,8
2020-02-28,48,34,11,16,3,7
2020-02-27,66,33,8,18,3,9
2020-02-26,65,41,7,24,4,10
2020-02-25,81,42,5,29,4,13
2020-02-24,90,47,5,20,4,9
2020-02-23,137,51,12,25,4,9
2020-02-22,168,71,13,32,5,14
2020-02-21,189,82,16,30,5,16
2020-02-20,160,98,7,26,5,12
2020-02-19,116,86,8,25,8,11
2020-02-18,84,63,10,33,18,10
2020-02-17,64,52,14,28,15,8
2020-02-16,36,40,15,17,6,6
2020-02-15,62,27,16,12,4,4
2020-02-14,51,40,16,18,3,12
2020-02-13,81,30,15,16,3,12
2020-02-12,108,42,8,21,3,15
2020-02-11,99,57,4,26,4,14
2020-02-10,77,52,6,,5,11
2020-02-09,27,43,3,,7,11
2020-02-08,58,15,4,,3,5
2020-02-07,108,33,2,,4,8
2020-02-06,107,57,3,6,3,15
2020-02-05,46,58,6,6,4,15
2020-02-04,29,24,19,1,4,9
2020-02-03,124,15,19,1,3,5
2020-02-02,171,60,11,10,3,13
2020-02-01,142,83,13,15,4,10
2020-01-31,109,70,11,20,4,9
2020-01-30,115,57,10,26,5,10
2020-01-29,86,56,14,16,3,8
2020-01-28,62,46,15,7,3,5
2020-01-27,36,36,15,9,3,5
2020-01-26,23,24,15,9,3,5
2020-01-25,35,15,18,9,2,5
2020-01-24,43,19,14,5,2,4
2020-01-23,53,23,12,6,2,5
2020-01-22,111,31,11,9,2,7
2020-01-21,140,56,9,15,3,14
2020-01-20,92,67,7,20,4,15
2020-01-19,66,46,12,13,3,11
2020-01-18,97,36,11,10,3,7
2020-01-17,62,49,8,12,3,10
2020-01-16,60,36,7,13,5,8
2020-01-15,54,41,6,15,6,12
2020-01-14,171,37,7,13,3,7
2020-01-13,149,90,4,28,8,18
2020-01-12,61,77,4,19,8,14
2020-01-11,57,38,7,13,4,8
2020-01-10,52,42,6,12,3,9
2020-01-09,70,41,6,15,3,8
2020-01-08,62,49,6,22,4,11
2020-01-07,84,48,6,18,3,12
2020-01-06,63,51,6,22,2,13
2020-01-05,66,47,6,17,2,9
2020-01-04,70,46,7,18,2,9
2020-01-03,59,44,6,21,3,12
2020-01-02,118,44,6,21,3,10
2020-01-01,153,65,5,25,4,15
2019-12-31,,80,5,28,4,15
2019-12-29,144,,,,,
2019-12-28,117,74,8,22,5,11
2019-12-27,68,65,6,19,7,8
2019-12-26,75,44,6,11,3,7
2019-12-25,49,51,6,17,5,10
2019-12-24,168,41,5,15,2,9
2019-12-23,154,94,4,20,4,20
2019-12-22,90,76,5,12,4,15
2019-12-21,102,49,5,11,3,9
2019-12-20,84,52,6,11,3,9
2019-12-19,63,43,6,13,4,8
2019-12-18,46,35,6,13,4,11
2019-12-17,50,26,6,11,3,11
2019-12-16,64,28,8,18,4,13
2019-12-15,95,34,4,12,3,10
2019-12-14,166,50,5,20,5,10
2019-12-13,156,83,9,25,6,12
2019-12-12,213,78,22,33,8,14
2019-12-11,177,119,2,29,8,15
2019-12-10,167,95,28,35,10,18
2019-12-09,153,91,26,33,9,15
2019-12-08,139,85,26,31,11,15
2019-12-07,116,74,23,27,9,11
2019-12-06,65,64,21,22,6,9
2019-12-05,84,42,20,15,4,6
2019-12-04,107,51,20,15,6,5
2019-12-03,82,59,19,20,7,8
2019-12-02,44,48,16,37,6,9
2019-12-01,96,30,16,,,6
2019-11-30,126,54,11,,,7
2019-11-29,84,68,9,,,12
2019-11-28,69,54,11,,,9
2019-11-27,124,47,12,,,6
2019-11-26,113,71,14,,,10
2019-11-25,101,65,13,,,11
2019-11-24,89,64,14,,,13
2019-11-23,120,57,9,,,11
2019-11-22,128,70,15,,,12
2019-11-21,131,73,14,,,12
2019-11-20,105,71,15,,,9
2019-11-19,59,61,19,,,9
2019-11-18,53,32,18,,,5
2019-11-17,61,27,16,,,7
2019-11-16,91,31,17,,,4
2019-11-15,101,48,27,,,6
2019-11-14,56,53,22,,,9
2019-11-13,117,29,15,,,8
2019-11-12,217,53,15,,,7
2019-11-11,165,96,45,,,9
2019-11-10,164,76,45,,,8
2019-11-09,131,74,54,,,6
2019-11-08,118,64,49,,,8
2019-11-07,149,56,41,,,7
2019-11-06,157,69,39,,,10
2019-11-05,120,78,35,,,1
2019-11-04,70,62,46,,,2
2019-11-03,71,38,33,,,1
2019-11-02,62,32,20,,,
2019-11-01,61,26,15,,,
2019-10-31,103,23,19,,,
2019-10-30,90,53,22,,,1
2019-10-29,40,47,34,,,2
2019-10-28,64,23,27,,,1
2019-10-27,95,29,14,,,1
2019-10-26,112,44,15,,,1
2019-10-25,67,52,23,,,1
2019-10-24,35,32,17,,,2
2019-10-23,55,16,19,,,2
2019-10-22,68,28,23,,,4
2019-10-21,118,36,23,,,3
2019-10-20,94,56,28,,,7
2019-10-19,49,46,42,,,5
2019-10-18,48,29,34,,,5
2019-10-17,97,24,24,23,,4
2019-10-16,76,45,35,,,7
2019-10-15,60,39,40,6,,5
2019-10-14,58,30,23,6,,2
2019-10-13,67,29,17,5,,2
2019-10-12,61,36,15,8,,4
2019-10-11,56,36,17,10,,5
2019-10-10,109,35,15,10,,6
2019-10-09,42,54,17,9,,6
2019-10-08,58,20,15,6,,5
2019-10-07,105,26,18,5,,4
2019-10-06,94,61,29,10,,5
2019-10-05,94,52,26,8,,5
2019-10-04,120,51,22,10,,8
2019-10-03,86,57,15,13,,11
2019-10-02,116,41,18,11,,8
2019-10-01,150,64,23,14,,9
2019-09-30,175,84,50,17,,9
2019-09-29,154,99,63,16,,8
2019-09-28,146,88,54,19,,7
2019-09-27,122,84,58,21,,10
2019-09-26,132,71,59,18,,8
2019-09-25,122,75,51,15,,6
2019-09-24,113,76,54,17,,7
2019-09-23,102,72,46,18,,8
2019-09-22,53,63,57,15,,6
2019-09-21,61,38,45,10,,5
2019-09-20,75,36,30,6,,4
2019-09-19,60,38,39,7,,8
2019-09-18,74,28,24,7,,7
2019-09-17,54,37,32,6,,5
2019-09-16,30,29,36,9,,6
2019-09-15,31,12,36,11,,9
2019-09-14,18,13,43,9,,7
2019-09-13,,8,34,11,,7
2019-08-25,,,,8,,10
2019-08-24,,,,8,,6
2019-08-23,,,,6,,5
2019-08-22,,,,6,,5
2019-08-21,,,,10,,10
2019-08-20,8,,,9,,10
2019-08-19,,4,20,11,,7
2019-08-18,,,,10,,7
2019-08-17,,,,7,,5
2019-08-16,,,,8,,7
2019-08-15,,,,10,,7
2019-08-14,,,,9,,5
2019-08-13,,,,10,,5
2019-08-12,,,,9,,7
2019-08-11,,,,8,,7
2019-08-10,,,,16,,6
2019-08-09,,,13,17,,7
2019-08-08,,,,18,,6
2019-08-07,,,,21,,7
2019-08-06,,,,27,,7
2019-08-05,,,,20,,7
2019-08-04,18,,,21,,9
2019-08-03,13,6,16,16,,8
2019-08-02,13,4,18,8,,2
2019-08-01,17,4,17,14,,6
2019-07-31,21,6,16,19,,6
2019-07-30,16,7,34,16,,4
2019-07-29,,6,32,24,,8
2019-07-28,,,17,24,,9
2019-07-27,,,14,22,,10
2019-07-24,7,,14,21,,7
2019-07-23,14,3,28,24,,6
2019-07-22,14,7,19,28,,10
2019-07-21,14,7,42,28,,9
2019-07-20,14,7,13,26,,7
2019-07-19,21,6,14,24,,4
2019-07-18,17,9,19,27,,8
2019-07-17,14,8,16,24,,8
2019-07-16,21,7,141,24,,8
2019-07-15,21,9,300,28,,10
2019-07-14,20,9,14,24,,11
2019-07-13,13,9,11,17,,7
2019-07-12,14,8,13,24,,7
2019-07-11,13,7,15,23,,7
2019-07-10,13,7,11,26,,9
2019-07-09,13,5,22,21,,6
2019-07-08,12,7,42,21,,6
2019-07-07,12,7,20,25,,7
2019-07-06,9,6,26,23,,6
2019-07-05,10,5,19,21,,6
2019-07-04,10,5,14,23,,7
2019-07-03,16,3,17,15,,
2019-07-02,17,6,26,14,,
2019-07-01,14,6,28,18,,14
2019-06-30,11,6,22,21,,15
2019-06-29,14,5,33,18,,14
2019-06-28,4,7,50,28,,18
2019-06-27,,3,26,19,,17
2019-06-26,,,,,,
2019-06-25,,,,,,
2019-06-24,,,,,,
2019-06-23,,,,,,
2019-06-22,,,,,,
2019-06-21,,,,,,
2019-06-20,,,,,,
2019-06-19,,,,,,
2019-06-18,,,,,,
2019-06-17,,,,,,
2019-06-16,,,,,,
2019-06-15,,,,,,
2019-06-14,,,,,,
2019-06-13,,,,,,
2019-06-12,,,,,,
2019-06-11,,,,,,
2019-06-10,,,,,,
2019-06-09,,,,,,
2019-06-08,,,,,,
2019-06-07,,,,,,
2019-06-06,,,,,,
2019-06-05,,,,,,
2019-06-04,,,,,,
2019-06-03,,,,,,
2019-06-02,,,,,,
2019-06-01,,,,,,
2019-05-31,,,,,,
2019-05-30,,,,,,
2019-05-29,,,,,,
2019-05-28,,,,,,
2019-05-27,,,,,,
2019-05-26,,,,,,
2019-05-25,,,,,,
2019-05-24,,,,,,
2019-05-23,,,,,,
2019-05-22,,,,,,
2019-05-21,,,,13,,
2019-05-20,,,,19,,
2019-05-19,,,,20,,
2019-05-18,,,,26,,
2019-05-17,,,,25,,
2019-05-16,,,,24,,
2019-05-15,,,,,,
2019-05-14,,,,,,
2019-05-13,,,,,,
2019-05-12,,,,,,
2019-05-11,,,,,,
2019-05-10,,,5,,,
2019-05-09,,,3,,,
2019-05-08,,,11,,,
2019-05-07,,,16,,,
2019-05-06,,,12,,,
2019-05-05,,,72,,,
2019-05-04,,,17,,,
2019-05-03,,,13,,,
2018-07-27,180,,,,,
2018-07-26,95,98,,,,
2018-07-25,,71,,,,
2018-06-27,89,,,,,
2018-06-26,,35,,,32,
2018-06-21,171,,,,,
2018-06-20,111,102,,,31,
2018-06-19,119,68,,,31,
2018-06-18,128,70,,,31,
2018-06-17,106,72,,,31,
2018-06-16,143,59,,,30,
2018-06-15,88,71,,,30,
2018-06-14,110,45,,,30,
2018-06-13,67,61,,,30,
2018-06-12,102,51,,,31,
2018-06-11,184,62,,,30,
2018-06-10,219,105,,,30,
2018-06-09,299,152,,,30,
2018-06-08,146,187,,,30,
2018-06-07,127,78,,,31,
2018-06-06,87,64,,,30,
2018-06-05,55,46,,,30,
2018-06-04,109,28,,,29,
2018-06-03,94,55,,,29,
2018-06-02,108,44,,,29,
2018-06-01,122,50,,,29,
2018-05-31,114,52,,,29,
2018-05-30,107,51,,,29,
2018-05-29,105,52,,,29,
2018-05-28,85,53,,,29,
2018-05-27,,44,,,29,
2018-05-19,60,,,,,
2018-05-18,48,15,,,28,
2018-05-17,47,19,,,28,
2018-05-16,,20,,,28,
2018-04-26,8,,,,,
2018-04-25,,2,,,38,
2018-04-20,8,,,,,
2018-04-19,14,2,,,32,
2018-04-18,,3,,,32,
2018-04-07,40,,,,,
2018-04-06,36,18,,,31,
2018-04-05,47,10,,,29,
2018-04-04,55,13,,,30,
2018-04-03,54,17,,,30,
2018-04-02,65,17,,,30,
2018-04-01,60,20,,,32,
2018-03-31,67,17,,,29,
2018-03-30,68,21,,,29,
2018-03-29,,22,,,30,
2018-03-20,61,,,,,
2018-03-19,83,28,,,31,
2018-03-18,62,44,,,28,
2018-03-17,73,21,,,26,
2018-03-16,78,25,,,27,
2018-03-15,88,33,,,28,
2018-03-14,86,37,,,27,
2018-03-13,123,35,,,28,
2018-03-12,135,52,,,28,
2018-03-11,121,57,,,27,
2018-03-10,94,53,,,31,
2018-03-09,82,46,,,30,
2018-03-08,55,38,,,30,
2018-03-07,,24,,,25,
2018-03-06,,,,,24,
2018-03-05,2,,,,24,
2018-03-04,4,1,,,24,
2018-03-03,3,1,,,24,
2018-03-02,3,1,,,24,
2018-03-01,4,1,,,24,
2018-02-28,4,1,,,24,
2018-02-27,6,1,,,25,
2018-02-26,29,1,,,25,
2018-02-25,,7,,,27,
2018-02-23,40,,,,,
2018-02-22,42,9,,,24,
2018-02-21,44,11,,,24,
2018-02-20,,10,,,24,
2018-02-16,63,,,,,
2018-02-15,24,17,,,23,
2018-02-14,50,6,,,24,
2018-02-13,126,15,,,24,
2018-02-12,119,44,,,28,
2018-02-11,115,40,,,23,
2018-02-10,124,38,,,23,
2018-02-09,42,44,,,24,
2018-02-08,112,12,,,34,
2018-02-07,117,39,,,36,
2018-02-06,105,41,,,41,
2018-02-05,107,38,,,38,
2018-02-04,100,38,,,42,
2018-02-03,93,36,,,50,
2018-02-02,99,33,,,46,
2018-02-01,109,36,,,45,
2018-01-31,111,39,,,45,
2018-01-30,110,39,,,38,
2018-01-29,69,39,,,38,
2018-01-28,52,22,,,38,
2018-01-27,61,14,,,37,
2018-01-26,57,16,,,38,
2018-01-25,55,15,,,37,
2018-01-24,67,14,,,37,
2018-01-23,64,19,,,37,
2018-01-22,70,18,,,38,
2018-01-21,100,21,,,39,
2018-01-20,103,33,,,39,
2018-01-19,76,34,,,40,
2018-01-18,110,26,,,45,
2018-01-17,126,38,,,41,
2018-01-16,128,44,,,41,
2018-01-15,143,45,,,41,
2018-01-14,148,55,,,42,
2018-01-13,131,55,,,44,
2018-01-12,118,51,,,49,
2018-01-11,110,43,,,46,
2018-01-10,100,39,,,44,
2018-01-09,91,35,,,41,
2018-01-08,46,31,,,36,
2018-01-07,71,14,,,37,
2018-01-06,73,21,,,37,
2018-01-05,83,23,,,37,
2018-01-04,113,28,,,38,
2018-01-03,118,40,,,39,
2018-01-02,158,43,,,40,
2018-01-01,123,60,,,41,
2017-12-31,94,46,,,44,
2017-12-30,67,33,,,38,
2017-12-29,142,20,,,38,
2017-12-28,127,52,,,40,
2017-12-27,150,44,,,37,
2017-12-26,160,55,,,37,
2017-12-25,142,66,,,48,
2017-12-24,121,56,,,46,
2017-12-23,148,44,,,40,
2017-12-22,132,56,,,48,
2017-12-21,117,52,,,53,
2017-12-20,121,44,,,46,
2017-12-19,105,46,,,47,
2017-12-18,131,38,,,44,
2017-12-17,109,50,,,38,
2017-12-16,59,39,,,37,
2017-12-15,63,19,,,36,
2017-12-14,85,20,,,36,
2017-12-13,102,31,,,35,
2017-12-12,140,37,,,36,
2017-12-11,129,48,,,36,
2017-12-10,144,46,,,37,
2017-12-09,93,52,,,37,
2017-12-08,99,33,,,37,
2017-12-07,142,34,,,36,
2017-12-06,111,52,,,38,
2017-12-05,79,42,,,14,
2017-12-04,96,28,,,13,
2017-12-03,125,34,,,13,
2017-12-02,108,49,,,14,
2017-12-01,83,38,,,13,
2017-11-30,146,30,,,13,
2017-11-29,154,61,,,13,
2017-11-28,141,65,,,14,
2017-11-27,9,60,,,14,
2017-11-26,18,3,,,14,
2017-11-25,19,5,,,13,
2017-11-24,26,5,,,13,
2017-11-23,,6,,,13,
2017-11-22,33,,,,,
2017-11-21,36,8,,,13,
2017-11-20,23,9,,,13,
2017-11-19,23,7,,,13,
2017-11-18,18,5,,,14,
2017-11-17,23,7,,,16,
2017-11-16,27,7,,,17,
2017-11-15,38,7,,,16,
2017-11-14,19,10,,,14,
2017-11-13,9,5,,,14,
2017-11-12,18,2,,,14,
2017-11-11,30,4,,,14,
2017-11-10,24,8,,,14,
2017-11-09,16,7,,,14,
2017-11-08,40,4,,,13,
2017-11-07,32,11,,,14,
2017-11-06,64,11,,,14,
2017-11-05,68,19,,,14,
2017-11-04,58,23,,,14,
2017-11-03,79,23,,,14,
2017-11-02,86,29,,,14,
2017-11-01,86,30,,,14,
2017-10-31,80,31,,,14,
2017-10-30,98,26,,,14,
2017-10-29,,34,,,15,
2017-10-27,26,,,,,
